location,ultima_fecha,fecha_incidencia,incidencia_7,fecha_factor,factor_crec_7d,cases_7d,cases_7d_prev
Ecuador,04/08/2024,04/08/2024,0.125,04/08/2024,0.95,157,166
Peru,04/08/2024,04/08/2024,0.0,04/08/2024,0.0,0,0
